,0
2017-04-01,102.08817
2017-07-01,102.80463
2017-10-01,102.27408
2018-01-01,103.74395
2018-04-01,102.98411
2018-07-01,103.4489
2018-10-01,105.04941
2019-01-01,104.37709
2019-04-01,102.98581
2019-07-01,104.7253
2019-10-01,105.93081
2020-01-01,106.99007
2020-04-01,132.96365
2020-07-01,124.47265
2020-10-01,125.98604
2021-01-01,124.47938
2021-04-01,122.48408
2021-07-01,119.304
2021-10-01,120.12854
2022-01-01,121.46238
2022-04-01,119.66902
2022-07-01,118.98189
2022-10-01,118.97609
2023-01-01,117.32269
2023-04-01,119.47035
2023-07-01,119.97822
